36,7,20,0,17,29,10,1,40,24,19,42,28,1
10,7,3,0,12,27,6,1,10,12,19,38,28,1
8,13,30,3,12,29,12,1,46,24,19,30,28,1
38,7,23,0,12,39,12,1,38,27,12,38,28,1
12,19,38,9,12,29,6,3,30,12,19,22,16,1
36,7,20,0,12,35,12,1,36,26,19,22,28,1
38,7,20,0,8,22,4,1,36,19,19,40,28,1
34,11,28,0,15,25,4,1,9,19,19,40,28,1
38,7,5,0,9,29,10,1,36,19,19,22,28,1
34,1,8,0,10,33,10,1,32,26,19,40,28,1
34,11,11,1,12,33,12,1,42,26,25,30,28,1
34,5,13,0,7,13,2,1,24,18,21,20,28,1
32,7,18,0,1,25,6,1,30,24,19,22,28,1
38,7,16,0,3,33,12,5,46,22,25,16,28,1
38,7,15,0,12,35,12,1,46,26,23,24,28,1
28,7,32,0,12,31,10,1,18,26,27,22,28,1
36,7,32,8,14,29,10,1,36,26,19,14,28,1
34,7,28,8,12,33,12,4,28,26,19,12,28,1
36,7,22,0,12,35,14,1,32,27,24,20,28,1
28,25,26,0,12,27,10,1,26,19,18,36,21,1
34,7,9,0,17,33,10,1,38,24,19,42,19,1
2,32,30,3,12,17,2,1,36,15,19,40,19,1
32,7,14,0,12,25,8,1,26,4,19,42,28,1
1,7,23,0,7,21,2,1,18,8,19,40,28,1
24,7,28,8,8,23,6,1,26,1,19,42,21,1
5,9,40,14,17,27,6,8,34,1,19,32,19,1
18,7,28,0,5,31,10,1,17,17,15,34,28,1
14,7,3,0,6,17,1,1,12,10,19,19,28,1
34,7,36,5,12,33,10,2,28,15,25,38,26,1
34,7,5,0,8,27,2,1,36,17,19,40,28,1
32,5,32,11,12,33,12,1,42,25,22,14,28,1
26,7,14,5,12,31,12,1,35,26,19,22,28,1
30,7,14,0,12,18,6,5,36,5,24,22,28,1
32,6,32,6,17,33,6,10,12,22,25,24,28,1
24,7,30,4,12,15,4,1,21,12,19,22,28,1
22,7,18,9,12,27,10,1,32,19,19,38,26,1
14,7,36,0,12,25,6,1,13,16,19,19,24,1
5,7,26,1,10,19,2,1,17,12,19,10,28,1
5,5,1,0,10,17,6,1,13,3,21,14,28,1
36,37,23,0,17,33,10,1,38,19,13,40,19,1
26,7,12,0,12,33,12,1,40,26,18,36,19,1
20,34,1,3,2,19,6,1,19,12,15,24,28,1
34,7,28,0,12,35,12,1,26,22,13,40,28,1
12,37,10,0,12,27,6,1,26,12,9,24,12,1
5,7,1,0,12,33,10,1,38,19,13,36,24,1
36,37,20,3,12,31,6,1,9,19,13,36,28,1
38,29,9,0,12,35,10,1,38,17,19,38,28,1
34,7,1,0,12,33,12,1,38,26,15,36,28,1
34,9,17,3,12,29,10,1,42,26,19,18,28,1
34,7,8,0,12,31,12,1,38,27,19,28,28,1
5,7,1,0,4,27,12,1,46,26,19,22,28,1
34,7,28,0,6,19,10,1,40,24,25,36,28,1
34,7,19,0,12,39,12,1,33,26,19,34,28,1
32,7,30,0,12,33,6,3,26,26,19,22,28,1
32,7,6,0,12,25,10,1,25,26,15,32,28,1
26,7,21,9,12,33,6,1,42,26,18,26,28,1
36,7,11,0,12,35,10,1,38,26,17,36,28,1
14,7,30,0,12,33,12,1,26,26,19,22,28,1
32,3,23,0,12,37,12,1,38,26,13,22,28,1
0,0,0,0,0,13,0,1,0,0,19,0,1,2
0,0,9,0,12,13,0,14,0,0,25,0,12,2
0,2,0,0,12,13,1,10,2,26,18,0,0,2
29,0,0,1,6,13,1,1,4,4,24,7,8,2
0,0,5,4,0,38,10,1,33,14,24,22,0,2
0,4,24,4,12,13,1,7,6,0,28,7,0,2
0,0,26,1,10,18,6,2,38,16,22,7,12,2
7,0,0,0,0,33,11,1,39,21,19,31,0,2
0,0,0,7,0,13,1,1,6,16,19,39,0,2
16,0,14,0,12,23,1,11,0,0,19,0,18,2
0,0,0,0,18,13,1,0,43,0,27,27,14,2
0,7,5,9,12,0,0,2,18,0,14,0,23,2
34,6,30,14,0,33,7,1,33,0,28,29,0,2
23,7,5,14,0,13,1,1,6,4,18,19,0,2
4,7,28,17,18,35,9,1,35,0,28,39,28,2
0,0,11,9,12,36,1,0,25,0,18,29,25,2
0,7,0,0,9,5,1,1,8,4,24,5,0,2
4,0,0,0,0,13,1,1,18,16,22,9,0,2
0,23,5,1,12,9,1,5,5,0,18,11,0,2
0,0,0,0,18,13,1,2,45,0,19,7,18,2
0,35,17,12,12,30,5,5,35,0,22,29,0,2
0,0,0,4,0,18,1,1,16,0,28,29,0,2
0,7,5,3,0,13,4,1,29,7,20,29,14,2
0,0,23,14,0,13,1,4,14,0,28,15,8,2
5,35,13,11,0,7,1,14,25,17,10,1,0,2
0,0,27,1,6,13,1,1,41,0,7,27,1,2
0,0,5,1,11,13,1,1,18,0,24,29,0,2
0,7,12,11,2,11,1,5,23,0,28,7,0,2
0,7,28,15,0,13,1,4,12,0,28,33,2,2
0,10,21,9,0,13,1,9,12,0,18,18,12,2
0,0,11,13,0,13,1,5,14,0,19,33,8,2
0,7,13,2,0,5,1,10,25,0,19,7,0,2
0,6,19,10,0,3,1,10,25,2,19,14,0,2
0,6,7,9,0,1,1,13,25,0,18,3,0,2
0,23,5,1,0,19,1,1,37,0,19,35,0,2
0,8,9,1,10,33,1,1,12,0,20,23,0,2
0,6,5,4,18,22,1,1,47,0,20,13,27,2
0,10,33,9,18,5,0,0,23,0,18,7,8,2
0,2,0,0,0,24,3,1,29,0,24,17,0,2
0,0,1,2,0,38,13,1,35,15,19,19,9,2
0,26,5,1,0,31,10,7,46,0,28,21,0,2
